service_id,date,exception_type
115009101,20260401,1
51050900201,20260408,1
150100201,20260402,1
5907010201,20260401,1
125501101,20260410,1
59990030102,20260329,1
113502101,20260331,1
117003101,20260327,1
5007030101,20260408,1
113402104,20260329,1
5013010101,20260330,1
171800201,20260410,1
17030050101,20260330,1
125300101,20260408,1
925918510201,20260409,1
125900201,20260331,1
60231500201,20260407,1
5801020101,20260401,1
5011020101,20260410,1
5905040201,20260409,1
113601101,20260330,1
148002201,20260409,1
5906002000101,20260407,1
115000101,20260401,1
148600202,20260328,1
5901020201,20260407,1
125502102,20260328,1
51050100101,20260331,1
5031010201,20260404,1
152000101,20260410,1
148001101,20260330,1
148502201,20260327,1
150001201,20260408,1
5213020101,20260407,1
5906002000201,20260331,1
5202510101,20260401,1
152800201,20260402,1
119100203,20260329,1
5907010201,20260410,1
143301201,20260408,1
125900101,20260327,1
150201201,20260409,1
111401102,20260408,1
5011040101,20260406,1
5090230203,20260409,1
60232000103,20260406,1
925918620201,20260402,1
114001201,20260327,1
5028020101,20260401,1
141001201,20260402,1
114201201,20260409,1
5013010101,20260403,1
125502101,20260402,1
5107510201,20260327,1
113301103,20260405,1
57050219201,20260404,1
5107990101,20260331,1
113602201,20260401,1
143202201,20260408,1
60230100104,20260406,1
125000201,20260407,1
143503102,20260405,1
60290100201,20260401,1
152501202,20260329,1
5090220201,20260409,1
925918510201,20260330,1
152000202,20260328,1
114001101,20260331,1
5090230204,20260404,1
114400201,20260407,1
5910001010101,20260410,1
5107520101,20260331,1
5107110101,20260330,1
5705230201,20260327,1
5003010101,20260408,1
143502201,20260409,1
148200202,20260328,1
141002101,20260401,1
118000204,20260329,1
140003201,20260330,1
117001201,20260408,1
118700201,20260327,1
5905030101,20260327,1
5003010201,20260403,1
5009010202,20260410,1
136003201,20260330,1
5028020101,20260327,1
140303104,20260406,1
5102020201,20260404,1
150002101,20260327,1
60232800204,20260403,1
5905130201,20260410,1
114502201,20260331,1
148702201,20260327,1
5213010201,20260401,1
116300201,20260410,1
116500101,20260331,1
17030020101,20260402,1
113501102,20260402,1
143102101,20260407,1
116103201,20260331,1
5007010202,20260404,1
125501101,20260409,1
60231100202,20260328,1
125101101,20260331,1
118100201,20260410,1
143501201,20260401,1
5801040201,20260330,1
60232000202,20260404,1
143001202,20260404,1
118400101,20260407,1
142001201,20260407,1
60232000203,20260403,1
171002201,20260327,1
142100201,20260330,1
114009101,20260329,1
140001101,20260410,1
111402101,20260327,1
114700101,20260408,1
5107030103,20260410,1
60230100102,20260328,1
60231100101,20260402,1
114002204,20260403,1
143802101,20260409,1
113402201,20260401,1
148101201,20260327,1
137502101,20260327,1
152202201,20260406,1
5210010101,20260330,1
60290200103,20260403,1
5905030201,20260408,1
136300201,20260402,1
143802101,20260408,1
140200101,20260327,1
143302101,20260331,1
125501101,20260401,1
60290200101,20260402,1
57050249104,20260329,1
152201201,20260330,1
148702101,20260401,1
171800201,20260409,1
125501103,20260405,1
60232000102,20260328,1
5107010201,20260408,1
51051200201,20260402,1
125102201,20260407,1
148502201,20260410,1
5901030101,20260401,1
140200101,20260407,1
141001105,20260329,1
152502201,20260331,1
5705240201,20260331,1
5202020204,20260402,1
113402201,20260327,1
5910003020103,20260406,1
5901020101,20260402,1
5011010201,20260410,1
5107030203,20260407,1
5090040102,20260404,1
110603101,20260410,1
171500201,20260409,1
140001201,20260331,1
152800102,20260405,1
142100202,20260405,1
5210010101,20260405,1
5906010101,20260408,1
5705230101,20260409,1
60232000101,20260408,1
114509103,20260404,1
171500202,20260410,1
5090220101,20260408,1
142001202,20260329,1
5213010101,20260408,1
5905130201,20260407,1
5910002000101,20260401,1
5213010201,20260330,1
152502202,20260329,1
57050401101,20260409,1
110603101,20260401,1
