stop_id,stop_name,stop_lat,stop_lon
5025230224,"Av. Dénia, s.n - Av. Dr. Fleming",38.36508804,-0.4607864068
5025230227,"Av. Dénia, s.n - Col.legi San José de Calasanz front",38.3585072587,-0.4686759813
5025240216,"C. Novelda, 199",38.372078,-0.49796
5025240127,"C. Ancha de Castelar, 130",38.399746,-0.524365
5025240128,"C. Ancha de Castelar, 178",38.401756,-0.526001
5025240210,"C. Perú, 4 front",38.39158373821919,-0.5136759328130409
5025240218,"C. Novelda, 121",38.365842,-0.495822
5025240115,"C. Novelda, 199 front",38.372215,-0.497789
5025240118,C. Alicante - Colonia Santa Isabel,38.381443,-0.503586
5025240220,"C. Novelda, 55",38.362492,-0.493363
5025240222,"Av. Alcoi, 125",38.357049,-0.489243
5025240219,"C. Novelda, 73",38.363782,-0.494298
5025240225,"C. Calderón de la Barca, 7",38.349015,-0.485978
5025230225,"Av. Dénia, 103",38.362428,-0.464153
5001020114,Entroncament Santa Pola [N-332] [Santa Pola],38.1963549991,-0.561588
5001020203,av. La Alegría [La Marina] [Elx],38.1427969991,-0.646522
5001020207,San Francisco de Asís 4 [San Fulgencio],38.1332499991,-0.690774
5001020208,av. San Isidro 8 [San Fulgencio],38.1135799991,-0.71679
5909010101,"Plaza de la Constitución, 5 [Carricola]",38.8401068099,-0.4717759071
5909010102,"Calle Viregen de los Desamparados, 4 [Atzeneta d Albaida]",38.8343551674,-0.4965297131
5909010104,"Carrer la Creu, 23 [El Palomar]",38.8529687685,-0.5031447426
5909010105,"CV-667, 20 [Bèlgida]",38.8620044943,-0.4753582146
5909010107,"Avinguda Sant Pancraci, 66 [Montaberner]",38.8899419104,-0.4940871247
5909010108,"Avinguda de València, 5 [Alfarrasí]",38.9029115419,-0.4951739813
5909010109,"Carretera Alfarrasí, 2 [front] [Benissuera]",38.9134562487,-0.4788892367
5909010110,CV-6132 [Sempere],38.9190038206,-0.4809069835
5909010111,"Avinguda de la Constitució, 12 [Guadasséquies]",38.9244539499,-0.4882074719
5909010112,N-340 [Bellús],38.946558562,-0.4886434227
5909010204,"Avinguda de la Constitució, 12 [front] [Guadasséquies]",38.9243683727,-0.4881563223
5909010205,CV-6132 [front] [Sempere],38.91894999,-0.4809546115
5909010206,"Carretera Alfarrasí, 2 [Benissuera]",38.9136024238,-0.4790786731
5909010207,"Avinguda de València, 5 [front] [Alfarrasí]",38.9029764942,-0.4952982835
5909010208,"Avinguda Sant Pancraci, 66 [front] [Montaberner]",38.8898213352,-0.4939741564
5909010211,"Carrer la Creu, 23 [front] [El Palomar]",38.8530988611,-0.5032201998
51040400206,Av. València front C/ Diputació (front marquesina) [Gaibiel],39.92658864814445,-0.49307129983359127
5907010105,"Camí de Rafol, frente a 20 [Castelló de Rugat]",38.87358716,-0.3808846039
5014060101,Estanco - I [Bacarot],38.3133950100,-0.5612263596
5014060102,Cas.Bacarot - I [Bacarot],38.3196389163,-0.5578728085
5907010108,"Av. Constitució, 13 [Ctra. CV-619 Km 5,9] [sentit Gandia] [Montitxelvo]",38.8917729991,-0.339594
5907010109,"C/ de la Carretera, front a 7 [Terrateig]",38.8972027457,-0.3227045379
5907010110,"C/ Sant Roc, 15 [Llocnou de Sant Jeroni]",38.9124807215,-0.2871963748
5907010111,"C/ Major 88, dona servei a Almiserà [Llocnou de Sant Jeroni]",38.9133973053,-0.2833378528
5014060103,Molino Arena(I) [Alacant],38.3401641694,-0.5487269559
5907010113,"Av. Jaume I, 104 [sentit Gandia] [Ròtova]",38.9321097836,-0.2551344081
5907010114,"Carrer de Gandia, 32 [Alfauir]",38.9295958236,-0.2523162983
5907010204,"Av. Jaume I, 59, cantonada con C/ Joan XXIII [sentit Llocnou] [Ròtova]",38.9321891307,-0.2551876386
5907010206,"C/ Major 85, dona servei a Almiserà [Llocnou de Sant Jeroni]",38.9134714778,-0.2833720768
5907010207,"C/ Sant Roc, 2 [Llocnou de Sant Jeroni]",38.9125597249,-0.2872278639
5907010208,"C/ de la Carretera, 7 [front] [Terrateig]",38.897261661,-0.3228030193
5014060104,Gasolinera - I [Alacant],38.3433413673,-0.5443064295
5014060105,La Casera [Alacant],38.3437158257,-0.5382586726
925217900102,"C. València, 34",39.433448,-0.410946
5025930229,"Av. Dénia, 3",38.3497779991,-0.473229
5907010209,"Av. Constitució, 6 [Ctra. CV-619 Km 5,9] [sentit Castelló] [Montitxelvo]",38.8917456519,-0.3401508427
5907010101,C/ Santísim Crist [Otos] (a demanda),38.8540448254,-0.4448378826
5907010102,"Ctra. CV-615 Km 12,1 [sentit Ràfol] [Bemiatjar] (a demanda)",38.8491651627,-0.4167990759
5907010103,"Ctra. CV-615 Km 15,7 [C/ Carretera de Beniatjar S/N] [Ràfol de Salem] (a demanda)",38.8657789991,-0.396656
5001020112,La Marina III [Elx],38.1364729991,-0.648409
5001020204,La Marina III (front) [Elx],38.1365029991,-0.648471
5001020205,Camping La Marina (front) - La Marina II [Elx],38.1306219991,-0.650092
5001020206,Urb. Buenavista (front) - La Marina I [Elx],38.1254599991,-0.651749
5105010211,"Pl. Els Hostals, 37 [Cabanes]",40.1554361546,0.0442764616
5210010202,Barri del Figueral - CV+541 pk 1+960 ascendente [Alberic],39.126059908,-0.5543561558
57050210240,"C. Rafael Altamira, 3",38.344397,-0.482776
5909010106,"Carrer la Pau, 11 [Bufalí]",38.867750,-0.513683
925217900217,"C. València, 34 front",39.433618,-0.411092
5907010212,"Camí de Rafol, 20 [Castelló de Rugat]",38.8736544659,-0.38089687
925217900218,"Av. Francesc Ciscar, 1 - Metro Paiporta",39.432109,-0.418031
925218000218,"Av. Real de Madrid, 15",39.434951,-0.390797
51050100107,"Plaça Rabal, 13 [La Pobla de Tornesa]",40.102668,-0.001338
925218210138,"C. València, 109",39.366997,-0.410226
5202110105,"Real de Gandia [Real de Gandia, el] (a demanda)",38.947086,-0.193677
5202110207,Estación Intermodal [Gandia] (a demanda),38.970549,-0.180207
19000010101,Castellon,39.98630229978365,-0.04425585926188858
19000010102,Valencia,39.47576037867329,-0.3563671101407183
51051200109,Passeig Universitat 8 [Castelló de la Plana],39.991494,-0.058649
51051200110,Passeig Universitat 34 [Castelló de la Plana],39.99213,-0.061493
51051200210,Passeig Universitat 29 [Castelló de la Plana],39.99195,-0.061419
51051200211,passeig Universitat 11 [Castelló de la Plana],39.99137,-0.05882
5910001010107,"C/ Sueca, 28",39.1711972604,-0.2611872732
5910001010109,"Av. Ciutat d Alacant, 27",39.1969752628,-0.3005497742
19000010103,Alicante,38.346357842290246,-0.49004196797847455
137000122,"C. Llano de Zaidia, 1",39.482893,-0.377420
5012010104,Marriott [Dénia],38.8081790835,0.0752273495
5907010211,"Ctra. CV-619 Km 3,2 [front] [Rugat] (a demanda)",38.881013578,-0.3631776233
5907010215,"Ctra. CV-615 Km 12,1 [sentit Ràfol] [front] [Bemiatjar] (a demanda)",38.8493106452,-0.4166971648
51051200106,"Rd. Mijares, 11",39.98694,-0.042615
5025940103,"Rambla Méndez Núñez, 40",38.3463823825,-0.4842506659
5025300216,"CV-824 km 3,22 des - C. Xaloc",38.3966851354,-0.579639278
5025940102,"Rb. Méndez Núñez, 22",38.3454049187,-0.4837480045
118100202,C. Campoamor - Av. Aguado i Medina,39.366749,-0.460636
118100203,"Av. Om, 5",39.362269,-0.456479
118100204,Pl. Abadía - Camí Paridera,39.360644,-0.455374
118100207,"Av. Antic Regne de València, 8",39.366281,-0.438812
118200104,"C. Jesús, 94",39.461817,-0.38731
118200106,"Av. Gaspar Aguilar, 30",39.456865,-0.390197
118200137,"Av. Albufera, 5",39.370135,-0.40833
118200141,"Av. Alacant, 130",39.359004,-0.409306
5910001010110,"Ronda Joan Fuster, 14",39.2001829203,-0.305559128
118300107,"C. Guadalquivir, 6",39.434348,-0.376941
118300111,"C. Murta, 1",39.42516,-0.378173
118300116,"Av. de la Albufera, 58",39.422089,-0.380956
118300119,"C. Pérez Llácer, 13",39.415342,-0.381808
118300120,"C. Pérez Llàcer, 1",39.416069,-0.385484
118300210,"C. Guadalquivir, 36 front",39.432118,-0.376314
118300211,"C. Guadalquivir, 6 front",39.434342,-0.376851
118300215,"Av. Plata, 59 front",39.45567,-0.365372
118300219,"C. Russafa, 21",39.465884,-0.374232
118601115,Estación RENFE,39.39175,-0.403173
118601121,"C. Pare Méndez, 120",39.430325,-0.472539
118601122,"C. Pare Méndez, 158",39.427982,-0.476097
118601124,"Av. al Vedat, 111",39.431207,-0.473733
118601125,"Av. Ricardo Capella, 55",39.436504,-0.440893
118601126,"Av. Ricardo Capella, 9",39.436397,-0.435415
118601127,"C. Senyera, 48",39.433907,-0.431727
118601128,"C. Picanya, 11B",39.429338,-0.423283
118602119,"C. Senyera, 35",39.433687,-0.430777
118602120,"Av. Ricardo Capella, 9 front",39.436466,-0.435337
118602121,"Av. Ricardo Capella, 55 front",39.436625,-0.440844
118602124,"C. Pare Méndez, 149",39.42799,-0.4759
118602125,"C. Pare Méndez, 119",39.430294,-0.472398
5910001010111,"Av. Ciutat de Pamplona, 1",39.2026001013,-0.3072833706
118700105,C. Angelino Soler - C. El Saler,39.371586,-0.440752
5910001010114,"Ronda Espanya, 102",39.2015297565,-0.3156271376
5910001010124,"C/ Guadassuar, RENFE",39.1536879343,-0.4505483002
5105010119,Ermitorio [Morella],40.5396280428,0.054871929
5910001010213,"Bar-Rte. El Surtidor. Ronda Cabanyal, 2-4",39.1990056047,-0.3124981764
5910001010215,"Av. Ciutat de Pamplona, 2",39.2024526853,-0.3073595173
5910001010216,"Av. Ciutat d Alacant,front 27",39.1968921806,-0.3006628706
5910001010217,Viveros Arlandis,39.1771862564,-0.2624166648
5910001010218,"C/ Sueca, 49",39.1720169914,-0.2615948031
5910001010220,"Rambla Sant Isidre,front 1",39.1636862954,-0.2573741755
5105010203,N-232a front (Enroig) [Xert],40.5127004748,0.1194714002
118700111,"Av. de Jaume I, 58A",39.366679,-0.412952
118700203,"Av. de Jaume I, 58A front",39.366547,-0.412941
5025300125,"CV-824 km 7,5 asc",38.3784888449,-0.6184299055
5025300126,"CV-824 km 7,93 asc - Ctra. Rebolledo",38.3776067641,-0.6228627318
5025300224,"Ctra. Alcoraya, 29",38.3970262101,-0.5359352479
142500106,"C. Mayor, 3 front (Las Casas)",39.589134,-1.278913
142500102,"C. Fuenterrobles, 21-23",39.646041,-1.400481
142500206,"C. Fuenterrobles, 24-26",39.646092,-1.400391
150002119,"C. Caja de Ahorros, 18",39.430564,-0.472479
150201103,"CV-435 km 15,87 des - El Collado",39.28786,-0.761179
150201104,"CV-435 km 15,05 des - Fuente Real",39.289443,-0.731379
150201105,"CV-435 km 12,60 des - El Olivar",39.298666,-0.714436
150201107,"C. Azorín, 4-6",39.318846,-0.674719
150201228,"C. Azorín, 1",39.318672,-0.674874
150201230,"CV-435 km 12,60 asc - El Olivar",39.298745,-0.71449
150201231,"CV-435 km 15,05 asc - Fuente Real",39.289588,-0.731406
5025530102,N332 – Benimagrell [Sant Joan dAlacant],38.3939323272,-0.4330076423
5025530104,N332 – Carrefour [Sant Joan dAlacant],38.4075209071,-0.4251693496
5025530106,N332 – La Font I [Sant Joan dAlacant],38.417413071,-0.415276655
5025530107,"San Ramón, 6 [Campello, el]",38.4244687853,-0.4066209243
5025530212,"San Ramón, 161 [Campello, el]",38.4296388986,-0.4005207572
5025530214,"San Ramón, 33 [Campello, el]",38.4264906283,-0.404322111
5025530215,"San Ramón, 15 [Campello, el]",38.4245659991,-0.406756
5025530217,N332 – Motel Abril Ii [Sant Joan dAlacant],38.4112945434,-0.422858405
5025530218,"Benidorm, 31 [Sant Joan dAlacant]",38.3989889991,-0.429675
5025530219,N332 – Sant Joan [Sant Joan dAlacant],38.3958838157,-0.4314434103
5910001010221,Av. Diagonal Pais Valencià 2,39.1622203518,-0.2553759693
5910003010121,C/ Sant Vicent Ferrer,39.1462477667,-0.3321390332
5105110105,Plaza del País Valencià [Canet lo Roig],40.5521538165,0.2447529302
5910005010103,"Av. Loteria, 9",39.2679617976,-0.2723412152
