shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
01,39.942669372998836,-0.06208560962869569,1
01,39.9424277897331,-0.06156235358739082,2
01,39.942268842835546,-0.06118089305812191,3
01,39.94206539026737,-0.06102333327504539,4
01,39.9424341476014,-0.06029358269657337,5
01,39.94262170228822,-0.05841945320889863,6
01,39.94238374438379,-0.055162610585512084,7
01,39.94193061478879,-0.05243768704067975,8
01,39.94208977704264,-0.05150735223574543,9
01,39.94171250295042,-0.05076923536583422,10
01,39.94044137264743,-0.04892458911592712,11
01,39.93889472375369,-0.045096480095565994,12
01,39.93801068191493,-0.0421318646106954,13
01,39.93592787760949,-0.026624600652581876,14
01,39.939441723711326,-0.021485682478584067,15
01,39.94395134478111,-0.015938036967810376,16
01,39.94199682110957,-0.010661778682788281,17
01,39.93840708200409,0.0008518664078565052,18
01,39.941428450711925,0.0015416196337980637,19
01,39.941954213560734,-0.00041012873188606136,20
01,39.94294886995792,-0.004029123747244512,21
01,39.94341395839689,-0.0055918320328487425,22
01,39.944232909621434,-0.007807330177769245,23
01,39.945279332980675,-0.01054373403496811,24
01,39.94641566436388,-0.013776389375493636,25
01,39.943650500757514,-0.016189667666225205,26
01,39.94301858927682,-0.0173171946147761,27
01,39.941302858807575,-0.018577615595944508,28
01,39.93961564865961,-0.020854580816575208,29
01,39.93845338958937,-0.023142949772108068,30
01,39.937655797693964,-0.02376422949055268,31
01,39.93747145079291,-0.02228807462100235,32
01,39.938140692145055,-0.018086637994628063,33
01,39.93843790236397,-0.015454848431090795,34
01,39.93915684980581,-0.013186289336942991,35
01,39.93788935137965,-0.010257011461675347,36
01,39.93682267419271,-0.008339081492863443,37
01,39.93523298570551,-0.003699583611592061,38
01,39.934751412608676,-0.0013561958765535564,39
01,39.93405234606354,-0.00012710092363477088,40
01,39.931830823471046,-0.0008091759687260947,41
01,39.92763097062712,-0.0021328032676706243,42
01,39.92428291916991,-0.0034447920089348827,43
01,39.91835676388581,-0.005305377979397008,44
01,39.91488879297086,-0.007028404118699427,45
01,39.91595882724698,-0.007163414189136574,46
01,39.919923282266694,-0.006021296476546922,47
01,39.92373190196486,-0.017818592803024558,48
01,39.93094400719292,-0.03397020393376238,49
01,39.933574404823815,-0.04175741541311595,50
01,39.93454721261196,-0.045947387287412766,51
01,39.93595658260435,-0.05054887571483846,52
01,39.937703848514786,-0.054332631943310616,53
01,39.93993928388011,-0.054695605000688374,54
01,39.94374559261709,-0.054761139580705276,55
01,39.944258440871636,-0.054498624742791435,56
01,39.944563214024015,-0.054543628099139596,57
01,39.94462646865904,-0.05509866949762454,58
01,39.94431594534376,-0.05535368851926137,59
01,39.94346406379836,-0.057220629699742176,60
01,39.94253731912738,-0.059574253437517655,61
01,39.94266393066437,-0.0604932821526063,62
01,39.94328431890159,-0.06180079891521473,63
01,39.94380657079088,-0.06292172573995458,64
01,39.94321001292559,-0.06329704560934601,65
01,39.94267988707688,-0.06209067540510205,66
